timestamp,segment_count,total_road_length_km,total_vehicles,avg_vehicle_density,avg_jam_factor,avg_speed,avg_free_flow,speed_ratio,total_incidents
2025-04-04 08:02:41,991,322.395,2756,8.548519673071853,1.3450050454086782,5.214990647628658,6.472138340262362,0.8057600708543039,49
2025-04-04 08:08:40,991,321.693,2968,9.226187700696006,1.4892028254288596,5.115764278304742,6.473539842583249,0.790257633799209,64
2025-04-04 08:38:16,992,323.346,3334,10.31093627259963,1.658266129032258,4.957717483266129,6.471214365826613,0.7661185680151464,63
2025-04-04 08:44:15,990,321.411,3347,10.413458157934857,1.7335353535353535,4.891133729090909,6.475308850202021,0.7553514190969149,62
2025-04-04 08:50:15,991,323.397,3472,10.736030328048807,1.7316851664984863,4.866857450454087,6.472698941170535,0.7519054253393029,61
2025-04-04 08:56:15,987,321.365,3237,10.07265881474336,1.6839918946301924,4.890239960081054,6.444613511347518,0.758810431606246,61
2025-04-04 09:02:15,990,321.411,3290,10.23611512984932,1.7344444444444445,4.819304337070707,6.475308850202021,0.7442586058146634,61
2025-04-04 09:08:15,992,325.073,3714,11.42512604861062,1.8774193548387097,4.712421769254032,6.470654330040323,0.7282759252609722,66
2025-04-04 09:14:15,990,324.429,3560,10.973125090543695,1.7907070707070707,4.776936202121211,6.450056322828282,0.7406037967784094,66
2025-04-04 09:20:15,989,324.47,3499,10.783739636946404,1.7483316481294235,4.848331840546006,6.440287813346814,0.7528129147424673,66
2025-04-04 09:26:15,990,321.411,3429,10.668583215882467,1.8414141414141414,4.7351292353535355,6.475308850202021,0.7312592101619687,66
2025-04-04 09:32:15,987,321.365,3436,10.691892396496195,1.8040526849037486,4.791455760587639,6.444613511347518,0.743482251053684,66
2025-04-04 09:38:15,988,323.735,3748,11.57737038009483,1.8775303643724697,4.771705076113361,6.436684864574898,0.7413296093420757,68
